# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.allKeys.lookupDurationMaxMs,1767720809603000000,1767720869611000000,0.0
IndexesFlusher.totalFlushesRetried,1767720809603000000,1767720869611000000,0
Indexes.allKeys.lookupDurationAvgMs,1767720809603000000,1767720869611000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1767720809603000000,1767720869611000000,0
Indexes.stubs.lookupDurationAvgMs,1767720809603000000,1767720869611000000,1.2565656565656567
IndexesFlusher.totalFlushingTimeUs,1767720809603000000,1767720869611000000,505116
Indexes.stubs.lookupDuration90PMs,1767720809603000000,1767720869611000000,1.0
Indexes.allKeys.lookups,1767720809603000000,1767720869611000000,0.0
Indexes.entries.lookupDurationMaxMs,1767720809603000000,1767720869611000000,46.0
Indexes.entries.lookupDurationAvgMs,1767720809603000000,1767720869611000000,1.7763157894736843
FileNameCache.queries,1767720809603000000,1767720869611000000,1009856
FileNameCache.totalMisses,1767720809603000000,1767720869611000000,83613
AWTEventQueue.dispatchTimeTotalNS,1767720809603000000,1767720869611000000,18045890941
FlushQueue.queueSizeMax,1767720809603000000,1767720869611000000,193
FlushQueue.waitingTimeMaxNs,1767720809603000000,1767720869611000000,5905580031
NonBlockingReadAction.finalizedExecutionTimeUs,1767720809603000000,1767720869611000000,775763
NonBlockingReadAction.failedExecutionsCount,1767720809603000000,1767720869611000000,2
AWTEventQueue.eventsDispatched,1767720809603000000,1767720869611000000,3991
ReadAction.executionsCount,1767720809603000000,1767720869611000000,184763
FlushQueue.queueSizeAvg,1767720809603000000,1767720869611000000,22.307478260869566
FlushQueue.queueSize90P,1767720809603000000,1767720869611000000,77
FlushQueue.executionTime90PNs,1767720809603000000,1767720869611000000,329727
FlushQueue.waitingTime90PNs,1767720809603000000,1767720869611000000,343932927
FlushQueue.tasksExecuted,1767720809603000000,1767720869611000000,2875
AWTEventQueue.dispatchTimeMaxNs,1767720809603000000,1767720869611000000,5737807871
FlushQueue.executionTimeMaxNs,1767720809603000000,1767720869611000000,5704253439
FlushQueue.executionTimeAvgNs,1767720809603000000,1767720869611000000,3326201.268173913
NonBlockingReadAction.failedExecutionTimeUs,1767720809603000000,1767720869611000000,281821
FlushQueue.waitingTimeAvgNs,1767720809603000000,1767720869611000000,2.164057857001739E8
WriteAction.executionsCount,1767720809603000000,1767720869611000000,14
AWTEventQueue.dispatchTime90PNs,1767720809603000000,1767720869611000000,1941503
AWTEventQueue.dispatchTimeAvgNs,1767720809603000000,1767720869611000000,4526611.231270358
NonBlockingReadAction.finalizedExecutionsCount,1767720809603000000,1767720869611000000,140
workspaceModel.moduleManagerBridge.load.all.modules.ms,1767720809603000000,1767720869611000000,79
workspaceModel.sync.entities.ms,1767720809603000000,1767720869611000000,0
jps.global.initialize.library.bridges.after.loading.ms,1767720809603000000,1767720869611000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1767720809603000000,1767720869611000000,112
workspaceModel.global.updates.ms,1767720809603000000,1767720869611000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1767720809603000000,1767720869611000000,0
jps.reload.project.entities.ms,1767720809603000000,1767720869611000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1767720809603000000,1767720869611000000,0
workspaceModel.global.updates.count,1767720809603000000,1767720869611000000,0
workspaceModel.save.cache.to.file.ms,1767720809603000000,1767720869611000000,52
jps.module.iml.entities.serializer.load.entities.ms,1767720809603000000,1767720869611000000,85
workspaceModel.mutableEntityStorage.modify.entity.ms,1767720809603000000,1767720869611000000,14
workspaceModel.mutableEntityStorage.put.entity.ms,1767720809603000000,1767720869611000000,45
jps.module.iml.entities.serializer.save.entities.ms,1767720809603000000,1767720869611000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1767720809603000000,1767720869611000000,2
workspaceModel.delayed.project.synchronizer.sync.ms,1767720809603000000,1767720869611000000,1013
workspaceModel.orphan.listener.update.ms,1767720809603000000,1767720869611000000,3
jps.app.storage.content.writer.save.component.ms,1767720809603000000,1767720869611000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1767720809603000000,1767720869611000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1767720809603000000,1767720869611000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1767720809603000000,1767720869611000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1767720809603000000,1767720869611000000,1
workspaceModel.moduleBridge.before.changed.ms,1767720809603000000,1767720869611000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1767720809603000000,1767720869611000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1767720809603000000,1767720869611000000,615
jps.global.handle.before.change.events.ms,1767720809603000000,1767720869611000000,0
jps.app.storage.content.reader.load.component.ms,1767720809603000000,1767720869611000000,1
jps.library.entities.serializer.load.entities.ms,1767720809603000000,1767720869611000000,59
workspaceModel.mutableEntityStorage.remove.entity.ms,1767720809603000000,1767720869611000000,0
jps.global.initialize.library.bridges.ms,1767720809603000000,1767720869611000000,15
workspaceModel.mutableEntityStorage.entities.ms,1767720809603000000,1767720869611000000,0
workspaceModel.load.cache.from.file.ms,1767720809603000000,1767720869611000000,452
jps.apply.loaded.storage.ms,1767720809603000000,1767720869611000000,567
jps.project.serializers.load.ms,1767720809603000000,1767720869611000000,280
workspaceModel.mutableEntityStorage.replace.by.source.ms,1767720809603000000,1767720869611000000,30
jps.storage.jps.conf.reader.load.component.ms,1767720809603000000,1767720869611000000,47
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1767720809603000000,1767720869611000000,2
jps.artifact.entities.serializer.save.entities.ms,1767720809603000000,1767720869611000000,0
jps.facet.change.listener.process.change.events.ms,1767720809603000000,1767720869611000000,0
workspaceModel.global.apply.state.to.project.ms,1767720809603000000,1767720869611000000,4
jps.project.serializers.save.ms,1767720809603000000,1767720869611000000,1
jps.load.project.to.empty.storage.ms,1767720809603000000,1767720869611000000,440
jps.save.changed.project.entities.ms,1767720809603000000,1767720869611000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1767720809603000000,1767720869611000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1767720809603000000,1767720869611000000,2
jps.library.entities.serializer.save.entities.ms,1767720809603000000,1767720869611000000,0
jps.global.get.libraries.ms,1767720809603000000,1767720869611000000,0
jps.facet.change.listener.before.change.events.ms,1767720809603000000,1767720869611000000,0
jps.global.get.library.ms,1767720809603000000,1767720869611000000,0
workspaceModel.load.cache.metadata.from.file.ms,1767720809603000000,1767720869611000000,28
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1767720809603000000,1767720869611000000,0
jps.save.global.entities.ms,1767720809603000000,1767720869611000000,1
jps.global.handle.changed.events.ms,1767720809603000000,1767720869611000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1767720809603000000,1767720869611000000,0
jps.load.initial.state.ms,1767720809603000000,1767720869611000000,7
jps.global.get.library.by.name.ms,1767720809603000000,1767720869611000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1767720809603000000,1767720869611000000,114
workspaceModel.moduleBridge.facet.initialization.ms,1767720809603000000,1767720869611000000,1
workspaceModel.moduleBridge.update.option.ms,1767720809603000000,1767720869611000000,0
jps.artifact.entities.serializer.load.entities.ms,1767720809603000000,1767720869611000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1767720809603000000,1767720869611000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1767720809603000000,1767720869611000000,0
jps.facet.change.listener.init.bridge.ms,1767720809603000000,1767720869611000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1767720809603000000,1767720869611000000,3
workspaceModel.update.unloaded.entities.ms,1767720869611000000,1767720929612000000,0
workspaceModel.pre.handlers.ms,1767720869611000000,1767720929612000000,0
workspaceModel.to.snapshot.ms,1767720869611000000,1767720929612000000,2
workspaceModel.loading.total.ms,1767720869611000000,1767720929612000000,486
workspaceModel.updates.precise.ms,1767720869611000000,1767720929612000000,47
workspaceModel.updates.ms,1767720869611000000,1767720929612000000,99
workspaceModel.initializing.ms,1767720869611000000,1767720929612000000,16
workspaceModel.init.bridges.ms,1767720869611000000,1767720929612000000,16
workspaceModel.replace.project.model.ms,1767720869611000000,1767720929612000000,0
workspaceModel.check.recursive.update.ms,1767720869611000000,1767720929612000000,0
workspaceModel.collect.changes.ms,1767720869611000000,1767720929612000000,0
workspaceModel.updates.count,1767720869611000000,1767720929612000000,5
workspaceModel.loading.from.cache.ms,1767720869611000000,1767720929612000000,457
FilePageCacheLockFree.totalPagesHandedOver,1767720869611000000,1767720929612000000,0
FilePageCacheLockFree.nativeBytesInUse,1767720869611000000,1767720929612000000,57344
FilePageCacheLockFree.housekeeperTimeSpentMs,1767720869611000000,1767720929612000000,88
FilePageCacheLockFree.totalPagesWriteMs,1767720869611000000,1767720929612000000,0
FilePageCacheLockFree.totalBytesRequested,1767720869611000000,1767720929612000000,0
FilePageCacheLockFree.totalPagesRequested,1767720869611000000,1767720929612000000,0
FilePageCache.pageLoads,1767720869611000000,1767720929612000000,0
FilePageCache.pageHits,1767720869611000000,1767720929612000000,0
DirectByteBufferAllocator.disposed,1767720869611000000,1767720929612000000,0
FilePageCache.disposedBuffers,1767720869611000000,1767720929612000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1767720869611000000,1767720929612000000,840
FilePageCacheLockFree.totalPagesAllocated,1767720869611000000,1767720929612000000,0
DirectByteBufferAllocator.reclaimed,1767720869611000000,1767720929612000000,0
StreamlinedBlobStorage.recordsAllocated,1767720869611000000,1767720929612000000,0
FilePageCache.capacityInBytes,1767720869611000000,1767720929612000000,503316478
DirectByteBufferAllocator.hits,1767720869611000000,1767720929612000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1767720869611000000,1767720929612000000,0
